Moeda	Sigla_Moeda	Preco	Und_Monetaria	Var	Periodo_Var	Data_Captura	Hora_Captura	Fornecimento_Total
Bitcoin	BTC	127976.61	R$	0.46	1d	2023-09-05	10:12:32	19477006.0
Ethereum	ETH	8122.93	R$	0.22	1d	2023-09-05	10:12:32	120218194.0
Tether	USDT	4.96	R$	0.04	1d	2023-09-05	10:12:32	82905516464.0
Bnb	BNB	1069.43	R$	0.9	1d	2023-09-05	10:12:32	153849854.0
Xrp	XRP	2.5	R$	0.19	1d	2023-09-05	10:12:32	52977697600.0
Usd Coin	USDC	4.97	R$	0.0	1d	2023-09-05	10:12:32	26026578133.0
Cardano	ADA	1.28	R$	0.35	1d	2023-09-05	10:12:32	35080265831.0
Solana	SOL	97.48	R$	0.98	1d	2023-09-05	10:12:32	408830249.0
Toncoin	TON	8.79	R$	6.73	1d	2023-09-05	10:12:32	3431892088.0
