Moeda	Sigla_Moeda	Preco	Und_Monetaria	Var	Periodo_Var	Data_Captura	Hora_Captura	Fornecimento_Total
Bitcoin	BTC	127359.59	R$	1.02	1d	2023-09-04	18:16:06	19476493.0
Ethereum	ETH	8034.24	R$	0.99	1d	2023-09-04	18:16:06	120217696.0
Tether	USDT	4.94	R$	0.02	1d	2023-09-04	18:16:06	82900167312.0
Bnb	BNB	1062.94	R$	0.35	1d	2023-09-04	18:16:06	153849931.0
Xrp	XRP	2.51	R$	0.35	1d	2023-09-04	18:16:06	52977697600.0
Usd Coin	USDC	4.94	R$	0.0	1d	2023-09-04	18:16:06	26098349028.0
Cardano	ADA	1.26	R$	0.1	1d	2023-09-04	18:16:06	35077938697.0
Solana	SOL	95.86	R$	0.67	1d	2023-09-04	18:16:06	408830932.0
Toncoin	TON	9.32	R$	1.37	1d	2023-09-04	18:16:06	3431892088.0
