Moeda	Preco	Sigla_Preco	Data_Captura	Hora_Captura	Variacao	Periodo_Qtde	Periodo_Und
Bitcoin	12621943.0	BRL	2023-08-25	15:31:00	0.31	1	d
Ethereum	800381.0	BRL	2023-08-25	15:31:00	0.03	1	d
Tether	486.0	BRL	2023-08-25	15:31:00	0.0	1	d
Bnb	105935.0	BRL	2023-08-25	15:31:00	0.19	1	d
Xrp	254.0	BRL	2023-08-25	15:31:00	1.31	1	d
Usd Coin	487.0	BRL	2023-08-25	15:31:00	0.02	1	d
Cardano	127.0	BRL	2023-08-25	15:31:00	1.52	1	d
